code,name,strategy_industry,leader_score,industry_rank,price,float_cap,avg_turnover_60d,revenue,roe,em2016
601728,中国电信,通信,59.5,4,6.45,500712000000.0,904481631.1166667,259010338291.03,4.2,信息技术-通信运营-通信运营
600522,中天科技,通信,49.0,5,33.89,115665000000.00002,12411120881.9,13142208087.22,2.43,信息技术-通信设备-通信传输设备
601288,农业银行,银行,87.27,1,6.85,2186823000000.0,2733892649.4,206255000000.0,2.6475,金融-银行-国有银行
600036,招商银行,银行,86.59,2,39.5,814843000000.0,3466221807.8416667,86940000000.0,3.37,金融-银行-股份制与城商行
601398,工商银行,银行,84.77,3,7.9,2129936000000.0,3107236155.016667,230370000000.0,2.2075,金融-银行-国有银行
601318,中国平安,非银金融,97.17,1,55.01,586410000000.0,4680874890.15,575138000000.0,9.0,金融-非银行金融-保险
600030,中信证券,非银金融,91.52,2,27.15,330593000000.0,4848974660.6,49691932907.1,7.81,金融-非银行金融-证券
601211,国泰海通,非银金融,84.35,3,17.31,232804000000.0,2306825035.233333,47163077753.0,6.12,金融-非银行金融-证券
601628,中国人寿,非银金融,79.35,4,37.6,782965000000.0,1538207640.3666666,93291000000.0,3.27,金融-非银行金融-保险
600999,招商证券,非银金融,73.91,5,17.66,131073000000.0,1884001622.9399998,21901578682.9,8.22,金融-非银行金融-证券
600519,贵州茅台,食品饮料,98.5,1,1304.0,1630106000000.0,5616507538.983334,92278072083.21,16.75,食品饮料-饮料-白酒
000858,五 粮 液,食品饮料,80.5,2,71.52,277606000000.0,2544669512.1200004,22838024164.27,6.5,食品饮料-饮料-白酒
600887,伊利股份,食品饮料,75.5,3,25.9,163013000000.0,1576152129.8166666,34824961423.65,9.44,食品饮料-食品-乳制品
600809,山西汾酒,食品饮料,68.0,4,116.66,142321000000.0,1214406497.8833334,14923228703.48,12.57,食品饮料-饮料-白酒
000568,泸州老窖,食品饮料,51.0,5,84.73,124643000000.0,1102788349.5666666,10472224575.78,8.62,食品饮料-饮料-白酒
